iter	Logloss
0	0.6399973564
1	0.6003113293
2	0.5682350396
3	0.5497136121
4	0.5306504196
5	0.5131141672
6	0.4930620551
7	0.4775570318
8	0.4678338426
9	0.4544153733
10	0.4436054397
11	0.4354198311
12	0.4238443057
13	0.4140676326
14	0.4014527618
15	0.3946381666
16	0.3846821325
17	0.3765521608
18	0.3640501552
19	0.3596090042
20	0.352824833
21	0.343255511
22	0.3376110374
23	0.3313534037
24	0.3252128477
25	0.3174389768
26	0.3111427125
27	0.3039385345
28	0.2974884029
29	0.2927233224
30	0.2870931402
31	0.2831156506
32	0.2781155411
33	0.2724085657
34	0.2650070531
35	0.2625140972
36	0.257597833
37	0.2546982725
38	0.2511380126
39	0.2485317859
40	0.2434781146
41	0.2405841552
42	0.2377963989
43	0.2332812475
44	0.2304417704
45	0.2253058608
46	0.2170691087
47	0.2126129486
48	0.2085894018
49	0.2043035691
50	0.1963416157
51	0.1917597188
52	0.1877774861
53	0.1839433948
54	0.1785913969
55	0.1764268016
56	0.1739916981
57	0.1711652175
58	0.1681879277
59	0.1619392807
60	0.1572418975
61	0.1530789465
62	0.1498186825
63	0.1453236421
64	0.1417194156
65	0.1384843801
66	0.1347019939
67	0.1319467991
68	0.1298852005
69	0.1274159052
70	0.1254074238
71	0.1224456423
72	0.1195720982
73	0.116829463
74	0.1141410839
75	0.1102326488
76	0.107485372
77	0.1047183898
78	0.1031949133
79	0.1023323547
80	0.1005039832
81	0.0989049929
82	0.0957405566
83	0.09431278302
84	0.09201168543
85	0.08995031313
86	0.08836410866
87	0.08593522259
88	0.0840547013
89	0.08305404127
90	0.08100451092
91	0.07829087988
92	0.07799720274
93	0.07601658659
94	0.07435869856
95	0.07225328952
96	0.07071577901
97	0.06948729804
98	0.06891803433
99	0.06696940235
100	0.06594356063
101	0.06381873485
102	0.06265028662
103	0.06169160777
104	0.06009358866
105	0.05903684321
106	0.05799761885
107	0.05690063575
108	0.05620355625
109	0.05489314898
110	0.05437789562
111	0.05366800685
112	0.05290560552
113	0.05237120846
114	0.05179089071
115	0.05033058688
116	0.04946318774
117	0.04844428503
118	0.04765613255
119	0.04721525799
120	0.04665559733
121	0.04586950822
122	0.04489795769
123	0.04446084713
124	0.04402626409
125	0.04330684638
126	0.04232580591
127	0.04148697411
128	0.04064062212
129	0.04003999052
130	0.03986094544
131	0.0392937802
132	0.03881709118
133	0.03818245103
134	0.03771316517
135	0.03745123817
136	0.03714145974
137	0.03642995225
138	0.03582235434
139	0.03540144259
140	0.03509618094
141	0.03465494754
142	0.03431952715
143	0.03387494322
144	0.03335401461
145	0.03285578697
146	0.03247842246
147	0.03192996796
148	0.0316678674
149	0.03115252823
150	0.03066647798
151	0.02999675275
152	0.02973534452
153	0.0293039092
154	0.02908722032
155	0.02887360503
156	0.02849795869
157	0.02805431868
158	0.02777322263
159	0.02739281572
160	0.02706027391
161	0.02676307852
162	0.02626566998
163	0.02599130427
164	0.02567296811
165	0.02529502242
166	0.02492885627
167	0.02464481729
168	0.02429599476
169	0.02399599489
170	0.0237562501
171	0.02350706607
172	0.02316745263
173	0.02285905693
174	0.02268901033
175	0.0224585702
176	0.02211991044
177	0.02194192825
178	0.02170593574
179	0.02135119614
180	0.02105520015
181	0.02080819845
182	0.02054805204
183	0.02046279861
184	0.02021170723
185	0.01998437581
186	0.0197062032
187	0.01953104693
188	0.01925057302
189	0.01904157983
190	0.01885677371
191	0.01850181957
192	0.01824536304
193	0.0180623687
194	0.01801629199
195	0.01789625772
196	0.01783687052
197	0.01759473276
198	0.01736453641
199	0.01717568741
